event_id,category,n_event_hours_log_trips,mean_log_event_log_trips,mean_log_baseline_log_trips,log_diff_log_trips,lift_pct_log_trips,t_stat_log_trips,p_value_log_trips,n_event_hours_log_fpm,mean_log_event_log_fpm,mean_log_baseline_log_fpm,log_diff_log_fpm,lift_pct_log_fpm,t_stat_log_fpm,p_value_log_fpm
0.0,sports_nba,7,5.120450803106055,6.114676204682466,-0.9942254015764105,-62.9990057312453,-7.324285953235784,0.0003308896771950136,7,1.8823658063191042,1.9241420619343206,-0.04177625561521636,-4.09156536953299,-1.720127553390238,0.13620042076069258
1.0,sports_nhl,7,5.896712578622377,6.306157887448237,-0.4094453088258607,-33.59815268116174,-11.324894846115727,2.83756405308885e-05,7,1.8636105338857172,2.0370698263040796,-0.17345929241836244,-15.92486245794651,-6.30505757112517,0.0007423899287487674
2.0,sports_nba,7,6.109036388691046,6.3763143034590355,-0.26727791476798934,-23.45396908223777,-5.061585363043589,0.0023070661534301297,7,1.8568262448118538,2.0533738658545633,-0.1965476210427095,-17.84377932852501,-6.593969785658706,0.0005845409017066447
3.0,sports_nhl,7,6.316397867369525,6.270530978781553,0.045866888587972277,4.6935042679556505,0.9626891575170777,0.37288061005513523,7,1.8459634071592734,2.0376453557228773,-0.19168194856360388,-17.44305997262341,-13.014498433861055,1.2677587148943537e-05
4.0,sports_nba,7,5.886383997436595,5.8665446418153655,0.019839355621229515,2.0037463579533954,0.35232261220378375,0.7366416011158956,7,1.8820109001554834,1.9752693192704474,-0.09325841911496391,-8.904193909943647,-6.9744988621566435,0.00043194953258764526
7.0,sports_nba,7,5.1874743522194535,5.343948416188732,-0.1564740639692781,-14.48463032921593,-3.3024271856599827,0.016358315603748726,7,1.6839185409391189,1.8310952213294933,-0.14717668039037446,-13.685853622713662,-6.0623128598213345,0.0009135748637112099
8.0,sports_nhl,7,6.137475924790551,6.114676204682466,0.022799720108085175,2.3061620356558565,0.41482478171598214,0.6926941318912156,7,1.7978673338091726,1.9241420619343204,-0.12627472812514773,-11.862732434341016,-14.85686898797747,5.849978259047057e-06
9.0,sports_nba,7,6.6406084098532725,6.3061578874482365,0.33445052240503603,39.71724593000579,4.680738728591777,0.003393323647439471,7,2.0589872163493164,2.0370698263040796,0.02191739004523674,2.2159340445652598,0.6466124553268409,0.5418119309393699
12.0,sports_nhl,7,5.655251291319724,5.343948416188732,0.3113028751309921,36.52026445049652,12.617257178446687,1.5181594948189187e-05,7,1.86532930855879,1.831095221329493,0.034234087229296994,3.482681812037103,1.641718334142119,0.15175650036495672
13.0,sports_nba,7,5.745609811447393,6.114676204682466,-0.36906639323507306,-30.862049399561386,-3.609604145778828,0.011236277564648548,7,1.788033024470936,1.9241420619343204,-0.13610903746338443,-12.725253486936305,-5.016017929195655,0.0024135823751134816
14.0,sports_nba,7,5.745609811447393,6.114676204682466,-0.36906639323507306,-30.862049399561386,-3.609604145778828,0.011236277564648548,7,1.788033024470936,1.9241420619343204,-0.13610903746338443,-12.725253486936305,-5.016017929195655,0.0024135823751134816
15.0,sports_nhl,7,6.529293122221454,6.306157887448237,0.22313523477321695,24.99896043669869,6.81938031486313,0.00048784208108879984,7,1.9469165519851774,2.03706982630408,-0.09015327431890263,-8.620888617376622,-1.865828517641619,0.11132070248746574
16.0,sports_nba,7,6.690627917009129,6.376314303459037,0.3143136135500919,36.931910624189655,9.818238715101572,6.430035142250648e-05,7,1.9841744431015502,2.0533738658545633,-0.06919942275301305,-6.685942794009625,-2.811221674975796,0.030706764423922128
18.0,sports_nba,7,6.6679791546704665,6.270530978781553,0.3974481758889139,48.80226765160731,17.964994814114142,1.913097306888787e-06,7,1.9384734175817273,2.0376453557228773,-0.09917193814115,-9.441301030668548,-3.710935328818984,0.009958568883201938
19.0,sports_nba,7,5.877232923401729,5.6734133871275985,0.2038195362741302,22.60768710897314,11.110276020861106,3.1682076990597646e-05,7,1.9038210201496422,1.9481086783131452,-0.044287658163502996,-4.332127855607371,-2.9040266515040596,0.027191307845026613
23.0,sports_nba,7,6.606211221172237,6.3061578874482365,0.30005333372400056,34.99308024929475,7.781508692431694,0.00023718209616578053,7,1.840898549450038,2.0370698263040796,-0.19617127685404157,-17.81285449348641,-7.194137103283247,0.000364932099118432
25.0,sports_nba,7,6.563920624860325,6.270530978781553,0.29338964607877216,34.096519047774684,8.79394407009642,0.0001199320022047165,7,1.841006467128784,2.0376453557228773,-0.1966388885940933,-17.851277183456006,-20.850177310635612,7.925304220314673e-07
26.0,sports_nba,7,6.563920624860325,6.270530978781553,0.29338964607877216,34.096519047774684,8.79394407009642,0.0001199320022047165,7,1.841006467128784,2.0376453557228773,-0.1966388885940933,-17.851277183456006,-20.850177310635612,7.925304220314673e-07
27.0,sports_nhl,7,6.040648984603188,5.866544641815366,0.17410434278782194,19.017974601430442,4.232906060883355,0.005482517524919631,7,1.8600946406426317,1.9752693192704474,-0.11517467862781561,-10.87895451098998,-6.93586656545202,0.0004451486406225144
28.0,sports_nba,7,5.767708595399069,5.6734133871275985,0.09429520827147098,9.888409771418472,2.107929223614935,0.07960032611386857,7,1.8849815823193816,1.9481086783131454,-0.06312709599376376,-6.117585468150377,-3.864964705549294,0.008314274054097662
