metric,beta,se,p_value,nobs,method
log_trips,0.016403443403506347,0.02150128697125278,0.4455210959767282,156722,PanelOLS
log_fpm,-0.006923409259028461,0.004767622285948154,0.14645570184968482,156722,PanelOLS
