dep,beta,se,p_value,ci95_low,ci95_high,nobs,platform,spec
log_trips,-0.01370259612255032,0.008384822544207846,0.10221590622775101,-0.030136674331887922,0.002731482086787281,156262,Lyft,PanelOLS_FE
log_trips,-0.1327401880963697,0.01682199746800175,2.886579864025407e-15,,,155697,Lyft,FirstDifference_OLS
log_fpm,-0.047524427799523,0.003045679416748487,0.0,-0.05349389626132013,-0.041554959337725864,156262,Lyft,PanelOLS_FE
log_fpm,-0.20110955492693405,0.01006838597213451,0.0,,,155697,Lyft,FirstDifference_OLS
