pickup_zone,holiday_date,trip_lift_pct,fpm_lift_pct
5,2024-07-04,15.414395196334047,-6.16220913132097
5,2024-09-02,-20.993358359803636,-3.929416837027123
5,2024-10-14,-14.40947155645394,-6.24564431378808
5,2024-10-31,30.496958204945884,-5.7598824271282325
5,2024-11-03,7.753077347051264,-0.09870927521773319
5,2024-11-11,-2.7047839060544794,-6.090168872782299
5,2024-11-28,22.627794896104923,-11.51009473462639
5,2024-12-25,-17.81775972141614,-21.4298034939417
5,2024-12-31,84.63775553844836,-9.37172196916449
5,2025-01-01,9.344167150319203,-1.5902255465099353
5,2025-01-20,-4.899412840504379,-6.909272174945144
5,2025-02-17,0.22138800654538565,-6.7390390401113995
5,2025-03-17,8.99990374434498,11.192700163720339
5,2025-05-26,-5.630955818654345,-11.681880873127934
5,2025-06-19,-2.946985857628188,1.427234360057772
5,2025-06-29,2.2873415395921426,6.20144383459927
5,2025-07-04,28.841115216661063,4.60415691352289
6,2024-01-01,-31.5080570113141,-5.132433164308522
6,2024-01-15,-34.85820639663026,-9.486693059378771
6,2024-02-19,-31.880295831904785,-13.7734183122342
6,2024-05-27,-37.83611696135573,-15.385779637029936
6,2024-06-19,1.4700462716514457,-8.648681024031376
6,2024-07-04,-7.396694214876025,-11.57415707522672
6,2024-09-02,-26.668952343635205,-10.863790868717823
6,2024-10-14,-8.801488955282363,-3.7541559689363053
6,2024-10-31,32.04545454545456,-7.2398611304359815
6,2024-11-03,35.706396224520525,-1.7031722681313453
6,2024-11-11,-20.71313121418426,-6.928269896946181
6,2024-11-28,1.5206611570248028,-6.219109386271708
6,2024-12-25,-16.760165431391016,-14.908916863504956
6,2024-12-31,21.62852002175822,-5.905584647153209
6,2025-01-01,-12.632570328815365,-14.607698399724626
6,2025-01-20,2.3656756624381656,-9.060294463022558
6,2025-02-17,10.554929715433218,-10.919056783130532
6,2025-03-17,4.599108585982271,3.402830661647564
6,2025-05-26,-12.523877161189203,-9.207024447535868
6,2025-06-19,16.611570247933898,3.436942456411186
6,2025-06-29,5.407169394517516,6.392424713045146
6,2025-07-04,1.9332923788530358,-6.020150522670447
7,2024-01-01,38.79423982671027,-3.421330662914103
7,2024-01-15,12.448786188124803,-11.818995593687589
7,2024-02-19,10.066052457194154,-13.496601734667216
7,2024-05-27,9.091297749086163,-9.783655464205985
7,2024-06-19,7.756555499571877,-9.73700921628367
7,2024-07-04,15.652509194447738,-14.919288986013326
7,2024-09-02,1.8077139579458845,-10.309887474144274
7,2024-10-14,0.23727581710522982,-7.699341092940716
7,2024-10-31,21.41297900106774,-7.911190387419531
7,2024-11-03,0.8415007065516267,-3.2679395682303416
7,2024-11-11,-10.07887817703769,-5.509710378822591
7,2024-11-28,37.53737098113655,-15.980718894190801
7,2024-12-25,2.3817104421233517,-18.06941649452026
7,2024-12-31,70.93518536582192,0.3039333550342433
7,2025-01-01,56.07823014648833,-13.426552512059454
7,2025-01-20,19.624063900586414,-11.53803223172626
7,2025-02-17,17.674554484370432,-7.551012223156232
7,2025-03-17,7.195941372209509,6.255266532490918
7,2025-05-26,4.1362946495371995,-10.253237899095499
7,2025-06-19,14.323170008304661,-2.1052697798114313
7,2025-06-29,-9.219476288491153,3.1086479054920075
7,2025-07-04,-8.994601634609939,-10.653045009949187
8,2024-01-01,-19.576719576719572,25.960650832228282
8,2024-01-15,34.038800705467374,-26.497743879426388
8,2024-02-19,20.63492063492064,0.006252396931061349
8,2024-05-27,-46.38447971781305,15.908756854457035
8,2024-06-19,153.98230088495578,-13.393189092265139
8,2024-07-04,470.83003952569175,-11.88753855347924
8,2024-09-02,208.28924162257496,-7.5496183378222685
8,2024-10-14,13.932980599647271,0.26966011473139384
8,2024-10-31,37.78656126482214,-30.758665556196146
8,2024-11-03,-15.346310547759167,-13.016728363001834
8,2024-11-11,-26.278659611992943,-36.04296928078013
8,2024-11-28,-73.75494071146245,-30.096388852410865
8,2024-12-25,-50.442477876106196,7.27239027307953
8,2024-12-31,-10.815173527037931,-17.707458098474095
8,2025-01-01,-31.858407079646017,-4.236748583054132
8,2025-01-20,-6.172839506172837,23.82523178284711
8,2025-02-17,-53.086419753086425,-14.08431454562523
8,2025-03-17,-53.086419753086425,1.9403990028259457
8,2025-05-26,248.5008818342152,-12.83907678026028
8,2025-06-19,77.15415019762847,1.3050502592148743
8,2025-06-29,77.00316885468538,-5.348923449755121
8,2025-07-04,247.0175438596491,2.055406299340054
9,2024-01-01,-27.387776838016475,-8.114921267540037
9,2024-01-15,-30.48272405475676,-13.386695743422255
9,2024-02-19,-19.76944522757886,-13.629196892815877
9,2024-05-27,-33.81574413432322,-14.068945355734536
9,2024-06-19,-15.93979773312452,-5.730000629371877
9,2024-07-04,-34.92610054563755,-16.745985485822686
