period,beta,se,ci95_low,ci95_high
-20,-0.047083152645966325,0.0063503932568006955,-0.05953086947352341,-0.03463543581840924
-19,-0.0533534559397716,0.005891895933534117,-0.06490244970949233,-0.04180446217005087
-18,-0.009969568941923834,0.007202946278923926,-0.024088416701176073,0.004149278817328406
-17,-0.006336922543467272,0.014288661898623925,-0.034344828505558915,0.021670983418624373
-16,-0.007469039125735322,0.006613112522364353,-0.02043172485216777,0.005493646600697125
-15,3.058058594417091e-05,0.024688349779223556,-0.04836226290644133,0.04842342407832967
-14,-0.009734193505156048,0.006881924121038969,-0.02322379001096128,0.0037554030006491847
-13,-0.003908773341841732,0.006152743412482297,-0.015969067029823734,0.008151520346140268
-12,-0.0024348268498531203,0.016540138951069924,-0.03485596324654465,0.02998630954683841
-11,0.061882166451648755,0.013489874037179049,0.03544000369670536,0.08832432920659215
-10,0.013685450699740356,0.024416912340147163,-0.03417533497490262,0.061546236374383334
-9,0.013311706025338627,0.007091261046517466,-0.0005882220401880779,0.02721163409086533
-8,0.04125852100888011,0.008172123565097528,0.025239941386397236,0.05727710063136299
-7,0.0758720102267281,0.00842063526999918,0.05936631064082619,0.09237770981263001
-6,-0.01705533192230474,0.0057982628459073374,-0.028420790891370437,-0.005689872953239042
-5,0.09600301279414918,0.0081813029595127,0.07996644019112038,0.11203958539717797
-4,0.19477439152625087,0.010183459336436985,0.17481329415497224,0.2147354888975295
-3,0.054374183408371815,0.007320256987585819,0.04002538918388303,0.0687229776328606
-2,-0.004539139108278287,0.008635133258415095,-0.021465286706123795,0.012387008489567222
-1,0.0,0.0,0.0,0.0
0,-0.04936074630362495,0.007017421736746287,-0.06311593832185416,-0.035605554285395725
1,-0.04315765306844344,0.007488103925186694,-0.057835452295479255,-0.02847985384140763
2,-0.03606010109506129,0.0064238465074294175,-0.048651797236483815,-0.02346840495363876
3,-0.04336686066400403,0.0075548342152733676,-0.05817546120069576,-0.0285582601273123
4,-0.05440750258266302,0.007182631475094457,-0.06848653030002953,-0.0403284748652965
5,-0.047801494764029846,0.008868918091695833,-0.06518589546299469,-0.030417094065064994
6,-0.05834482182466281,0.007345967123231162,-0.07274401174516122,-0.043945631904164395
7,-0.04887393934069525,0.015127337180968934,-0.0785257737970927,-0.019222104884297788
8,-0.029225197469184287,0.007981541451901253,-0.04487020775800044,-0.01358018718036813
9,-0.056390407358096604,0.007970639519707789,-0.07201404823570785,-0.040766766480485356
10,-0.06027448144124826,0.0061654788640481606,-0.072359738511552,-0.048189224370944514
11,-0.07896104911847258,0.011824261517232277,-0.10213836320116597,-0.0557837350357792
12,-0.05812995812723068,0.006154893328784026,-0.07019446597144595,-0.04606545028301541
13,-0.03148724905886751,0.005189559432452072,-0.04165955865650738,-0.021314939461227637
14,-0.031217433438101544,0.0058466658331501565,-0.04267776947295545,-0.019757097403247638
15,-0.028400917421846094,0.005430480483881032,-0.03904546817128762,-0.017756366672404565
16,-0.027081167625633066,0.0060204666028814136,-0.038882179060976435,-0.0152801561902897
17,-0.0007465888018783068,0.006523273980846719,-0.0135331776033188,0.012039999999562187
18,0.05026240011932483,0.008120928286867814,0.034344170868943556,0.06618062936970609
19,0.03714507706778699,0.008065914030651848,0.02133468395528925,0.05295547018028473
20,-0.012360028584770255,0.007243368732862961,-0.026558110375642388,0.001838053206101876
21,0.02594343289991156,0.007778868222825627,0.01069569233314896,0.04119117346667416
22,-0.002516755830951996,0.00542611371196639,-0.013152747056904834,0.008119235395000843
23,-0.04345628326081008,0.006150033052421827,-0.055511264239300064,-0.0314013022823201
24,0.03384166280200501,0.007569023473227438,0.019005249205891132,0.04867807639811889
25,-0.019501066506342958,0.006894962915660412,-0.033016220992049136,-0.005985912020636782
26,-0.002684274894657587,0.007019478591447054,-0.016443498654518426,0.011074948865203254
27,0.024031235171231943,0.00780560042696069,0.008731095501958115,0.03933137484050577
28,0.004433973038877688,0.006716712044282164,-0.008731783184160962,0.017599729261916337
29,-0.0047489800338084455,0.007590159646308853,-0.01962682367790462,0.010128863610287728
30,-0.04922410063001494,0.006888549908182695,-0.06272668466569267,-0.03572151659433722
