pickup_hour,pickup_zone,platform,trip_count,total_adjusted_fare,total_miles,total_base_fare,total_driver_pay,mean_fare_per_mile,median_fare_per_mile,p75_fare_per_mile,mean_trip_miles,mean_trip_time,pct_shared,pct_airport,pickup_date,dow,hour_of_day,hour_of_week,is_weekend,is_in_crz,is_post_cp,temp_f,precip_in,wind_mph,visibility_mi,is_rain,is_heavy_rain,is_freezing,is_extreme_cold,is_extreme_heat,subway_riders_zone,borough,sapo_count_borough,sapo_typed_borough,sapo_location_borough,is_storm_active,is_holiday,is_event_sym,event_count_sym,is_event_asym,event_count_asym,has_major_event_dayflag,total_event_attendance,is_nj_event_pregame_sym,nj_event_count_sym,is_nj_event_pregame_asym,nj_event_count_asym,is_event_combined_sym,is_event_combined_asym,is_nyc_event_sym,is_nyc_event_asym,event_date_x,event_id,event_name,event_category,venue,league,log_trips,fare_per_mile,log_fpm,nj_event_id,event_date_y,nj_venue,baseline_mean_trips,baseline_mean_fpm,baseline_mean_log_trips,baseline_mean_log_fpm,baseline_n_hours,row_lift_trips_pct,row_lift_fpm_pct
2024-03-21 18:00:00,88,uber,107,3951.780000000001,720.7600000000001,4216.78,2902.6,6.95196668006979,6.078066914498142,7.689418094858509,6.7360747663551415,1666.8504672897195,0.028037383177570093,0.04672897196261682,2024-03-21,4,18,90,0,1,0,38.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Manhattan,2,1100,1100,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,,,,,,,4.68213122712422,5.4827959376214,1.7034374041385456,92,2024-03-21,Prudential Center (NJ),90.86666666666666,6.378002771581032,4.5000077429882515,1.8427153553429745,75,17.75495231107851,-14.035848932968097
2024-03-23 16:00:00,231,uber,467,10462.190000000004,1542.4699999999996,11679.690000000006,8027.070000000005,8.798702722251207,7.785488958990537,9.45566099275068,3.302933618843682,1127.8543897216275,0.02569593147751606,0.010706638115631691,2024-03-23,6,16,136,1,1,0,45.0,0.01,15.0,10.0,1.0,0.0,0.0,0.0,0.0,1094.0,Manhattan,6,6000,12000,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,,,,,,,6.148468295917647,6.782751042159657,1.9158560203633672,95,2024-03-23,UBS Arena (Belmont),301.8169014084507,6.839805166665015,5.6881353574639535,1.919874629154213,71,54.72957207522518,-0.8341483874923983
2024-03-23 15:00:00,158,uber,315,7010.850000000002,961.5899999999998,7845.350000000001,5502.700000000002,9.273002556938687,8.470899470899472,10.48844263034458,3.052666666666666,1179.8920634920635,0.01904761904761905,0.025396825396825397,2024-03-23,6,15,135,1,1,0,44.0,0.22,11.0,1.75,1.0,0.0,0.0,0.0,0.0,0.0,Manhattan,6,6000,12000,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,,,,,,,5.755742213586912,7.290893208124048,1.9879966979465713,95,2024-03-23,UBS Arena (Belmont),173.1267605633803,7.467276500520546,5.13582523015739,2.007507016705236,71,81.94760820045558,-2.3620833162425674
2024-03-16 16:00:00,230,uber,333,11811.039999999985,1839.7800000000007,12619.039999999985,9074.879999999996,10.645403582475481,8.412790697674419,11.90909090909091,5.524864864864867,1729.051051051051,0.003003003003003003,0.07807807807807808,2024-03-16,6,16,136,1,1,0,55.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,5239.0,Manhattan,19,56700,158700,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,,,,,,,5.811140992976701,6.419811064366381,1.860945154360031,85,2024-03-16,UBS Arena (Belmont),333.5735294117647,6.791525993590083,5.787245662736509,1.909694402442263,68,-0.17193492924216072,-5.473216616921307
2024-03-05 15:00:00,231,uber,309,10014.179999999988,1331.7099999999998,10831.929999999991,7492.170000000003,9.636881203016259,8.429980276134122,10.442622950819672,4.309741100323624,1652.074433656958,0.003236245954692557,0.06472491909385113,2024-03-05,2,15,39,0,1,0,45.0,0.05,11.0,4.0,1.0,0.0,0.0,0.0,0.0,3621.0,Manhattan,1,1000,1000,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,,,,,,,5.736572297479192,7.5197903447447185,2.018867198760804,74,2024-03-05,UBS Arena (Belmont),244.84415584415584,6.973924271264906,5.4921427863219385,1.9397725182814762,77,26.202726356548034,7.8272440629873
2024-03-05 15:00:00,158,uber,174,4580.799999999999,533.5499999999997,5039.550000000001,3419.650000000001,10.464746212523194,9.378674521354935,11.859417016446642,3.066379310344826,1349.028735632184,0.0,0.040229885057471264,2024-03-05,2,15,39,0,1,0,45.0,0.05,11.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,Manhattan,1,1000,1000,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,,,,,,,5.1647859739235145,8.585512135694877,2.151240222364493,74,2024-03-05,UBS Arena (Belmont),119.97402597402598,7.9101253864893275,4.77794728214224,2.0641054978255644,77,45.03139207620697,8.53825592144374
2024-03-05 17:00:00,158,uber,172,4332.9000000000015,490.2600000000004,4787.65,3031.1699999999996,10.416319891877935,9.622833628690717,11.929714912280703,2.8503488372093044,1242.9360465116279,0.011627906976744186,0.03488372093023256,2024-03-05,2,17,41,0,1,0,45.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Manhattan,1,1000,1000,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,,,,,,,5.153291594497779,8.837963529555742,2.180187322885831,74,2024-03-05,UBS Arena (Belmont),155.1038961038961,8.149680789847151,5.0294382021567055,2.0936516949558612,77,10.893410365904725,8.445517774954462
2024-03-19 16:00:00,230,uber,303,12449.860000000006,1653.6199999999997,13199.860000000002,8277.67,10.277212850736014,8.89795918367347,11.704329424824813,5.457491749174916,1719.2508250825083,0.013201320132013201,0.22112211221122113,2024-03-19,2,16,40,0,1,0,45.0,0.0,,10.0,0.0,0.0,0.0,0.0,0.0,9737.0,Manhattan,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,,,,,,,5.717027701406222,7.528851852299808,2.020069896194172,90,2024-03-19,UBS Arena (Belmont),265.4264705882353,7.7304161527255175,5.569709123857253,2.0422454948226068,68,14.155908914621303,-2.607418493953186
2024-03-09 18:00:00,113,uber,348,7500.969999999997,870.3999999999999,8419.969999999996,5775.219999999998,11.157844952708649,10.12331081081081,12.567106009070294,2.501149425287356,1157.1724137931035,0.0028735632183908046,0.011494252873563218,2024-03-09,6,18,138,1,1,0,46.0,0.04,9.0,6.0,1.0,0.0,0.0,0.0,0.0,1920.0,Manhattan,16,5200,7400,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,,,,,,,5.855071922202427,8.617842371323526,2.154994458926031,79,2024-03-09,Prudential Center (NJ),215.61971830985917,7.089495713607655,5.347732855678144,1.9513013142754552,71,61.39525769155399,21.557903685340353
2024-03-21 16:00:00,125,uber,116,4732.399999999999,619.4,5025.4,3206.6800000000003,9.56220159008128,8.649275204754655,11.192781557067272,5.339655172413793,1790.9655172413793,0.008620689655172414,0.15517241379310345,2024-03-21,4,16,88,0,1,0,41.0,0.0,,10.0,0.0,0.0,0.0,0.0,0.0,3127.0,Manhattan,2,1100,1100,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,,,,,,,4.762173934797756,7.640297061672585,2.034744478675705,92,2024-03-21,Prudential Center (NJ),115.56,7.873185026134324,4.720864114362637,2.051143089633619,75,0.380754586362061,-2.9579892214991665
