shock,flag,n_shock_hours,n_calendar_hours,observed_trips,observed_fpm,baseline_trips,baseline_fpm,volume_lift_pct,fpm_lift_pct,observed_already_surged_pct,shock_avg_miles
NYC sports,is_nyc_event_sym,4083,3489,1022929,6.51924888630175,979992.9850323721,6.0222433421595385,4.381257378715797,8.252830646394793,8.252830646394793,5.151216760889563
NJ pregame (departure),is_nj_event_pregame_sym,3552,504,718023,7.143087322886869,662001.7446989121,6.932579128266677,8.462402969431327,3.036506193804156,3.036506193804156,4.619585862848404
Heavy rain,heavy_rain,7116,58,799196,5.892855320266309,684413.4395155363,4.676264274556017,16.770939005188556,26.016302207937137,26.016302207937137,4.411425282408821
Storm active,is_storm_active,186000,744,15358875,4.937178475951574,15115670.869837437,4.67220610508001,1.60895359694464,5.671247477363317,5.671247477363317,4.9034234401933725
