platform,spec,coef,se,p_value,nobs
Uber,PanelOLS_FE,0.05743316284312195,0.04865271352608127,0.2378143681434679,156722
Lyft,PanelOLS_FE,0.09999662385433283,0.07851824441688303,0.20282613989687093,156262
Uber,FirstDifference_OLS,0.06792594519763324,0.05313775594105182,0.2011458859885571,156296
Lyft,FirstDifference_OLS,0.10354242122525804,0.07699481002762291,0.17869262536966235,155697
