shock,supply_capture_frac,annualized_capture
NYC sports,0.3,451515.74473392457
NJ pregame (departure),0.3,601509.2574669593
Heavy rain,0.3,1045289.6305245624
Storm active,0.3,1794743.5671104398
NYC sports,0.5,752526.2412232076
NJ pregame (departure),0.5,1002515.4291115988
Heavy rain,0.5,1742149.3842076042
Storm active,0.5,2991239.2785173994
NYC sports,0.7,1053536.7377124906
NJ pregame (departure),0.7,1403521.6007562384
Heavy rain,0.7,2439009.1378906453
Storm active,0.7,4187734.989924359
