shock,flag,n_shock_hours,obs_trips,base_trips,trip_lift_pct,obs_fpm,base_fpm,fpm_lift_pct,obs_pay_per_trip,pay_lift_pct,obs_fare_to_pay,base_fare_to_pay,shock_avg_miles
NYC sports,is_nyc_event_sym,4083,1022929,979992.9850323721,4.381257378715797,6.51924888630175,6.0222433421595385,8.252830646394793,22.25964917935573,9.279802667485182,1.3029919237086545,1.2944890587660298,5.151216760889563
NJ pregame (departure),is_nj_event_pregame_sym,3552,718023,662001.7446989121,8.462402969431327,7.143087322886869,6.932579128266677,3.036506193804156,24.263614230635785,-0.8457756798782912,1.3561608317865261,1.3483081062252158,4.619585862848404
Heavy rain,heavy_rain,7116,799196,684413.4395155363,16.770939005188556,5.892855320266309,4.676264274556017,26.016302207937137,19.186443984640693,0.8010401082139129,1.20279709106136,1.187968711400444,4.411425282408821
Storm active,is_storm_active,186000,15358875,15115670.869837437,1.60895359694464,4.937178475951574,4.67220610508001,5.671247477363317,19.036571972271584,-2.552930842658152,1.210850410270159,1.2162178836970508,4.9034234401933725
