dep,beta,se,p_value,ci95_low,ci95_high,nobs,spec
log_trips,-0.1329787108404259,0.007573108453335122,0.0,-0.14782185148430713,-0.11813557019654466,149534,donut_window
log_fpm,-0.012729330120106595,0.0028422585098406574,7.519108370823702e-06,-0.01830009978064856,-0.0071585604595646325,149534,donut_window
