pickup_zone,trip_lift_pct,event
33,1.0381273979906478,NYC Marathon 2024-11-03
43,-45.02768674426489,NYC Marathon 2024-11-03
161,9.455482838175058,NYC Marathon 2024-11-03
247,-4.676231362072942,NYC Marathon 2024-11-03
