dep,beta,se,p_value,ci95_low,ci95_high,nobs,platform
log_trips,-0.11857912251548879,0.0077515144366184585,0.0,-0.1337719296259895,-0.10338631540498806,156722,Uber
log_fpm,-0.014352932295164376,0.002574399059964847,2.4757463634728083e-08,-0.019398700920548344,-0.009307163669780408,156722,Uber
