event_id,event_name,n_hours,lift_pct,ci95_low_pct,ci95_high_pct
741.0,UN GA General Debate Day 1,17,-53.26919974857861,-62.293099641452685,-42.0857277746715
742.0,UN GA General Debate,17,-40.612899179240735,-50.93784761265423,-28.115103551700805
743.0,UN GA General Debate,17,-58.52615417401286,-71.56309554787468,-39.512407530377445
744.0,UN GA General Debate,17,-18.773517846923593,-28.450503477200893,-7.787731240545037
745.0,Election Day 2024,9,-8.970407013593828,-14.069730792519664,-3.568476211064542
746.0,Presidential Inauguration,14,-30.543967212974355,-44.705558114454725,-12.755417615066333
