hour_of_week,corr
0,0.4690845242951132
1,0.5056623725358795
2,0.5184530847992017
3,0.4638214038637569
4,0.3223868684726643
5,0.30206002495670076
6,0.3867856027106525
7,0.45140047854713955
8,0.4435018586445669
9,0.4549127428894453
10,0.47021013300850156
11,0.5030428021154102
12,0.5217982319938116
13,0.5187220858345757
14,0.501102763249943
15,0.5065787782356029
16,0.5234876017656587
17,0.5606681988382781
18,0.5979708892048013
19,0.6048438828020225
20,0.6157316786246941
21,0.6403192669367099
22,0.6141310786539882
23,0.5473994456620822
24,0.5575791834520228
25,0.5464588856504434
26,0.5381145607665898
27,0.4412841999034318
28,0.3137854390070191
29,0.2791201552754377
30,0.34687636026097846
31,0.39321570329436617
32,0.39435185747691553
33,0.44492268019267905
34,0.4798535947882896
35,0.5194805784520317
36,0.5355557482967024
37,0.5228624084825335
38,0.5146682675912
39,0.5248742059459318
40,0.5427610321673246
41,0.5744811913305545
42,0.6221214154656294
43,0.6281193966353532
44,0.6450535175021413
45,0.6672571463170337
46,0.6426554314622104
47,0.5942526896385831
48,0.5957313138250534
49,0.601688401155024
50,0.5597188314008876
51,0.431707096785956
52,0.2885477104413813
53,0.2695197790546814
54,0.36071169373053735
55,0.4224196199976278
56,0.4454635230818336
57,0.482565848634749
58,0.48725982804712625
59,0.52100204555618
60,0.5369984585357183
61,0.5305696283611897
62,0.5193887055584321
63,0.526152930637873
64,0.5455380958926999
65,0.5732830534089318
66,0.6178095854346823
67,0.6270409292021624
68,0.6460877964011247
69,0.6652422370444951
70,0.6470027868124943
71,0.610526732480361
72,0.6121645786461466
73,0.609242437462477
74,0.5622469397277295
75,0.4333330396021331
76,0.2737714748479206
77,0.2834620685855482
78,0.362921611592782
79,0.4275579725884627
80,0.42654144349381806
81,0.45934171645969635
82,0.4919301390090595
83,0.5169464586841916
84,0.536109861047806
85,0.5391569274249044
86,0.5209176561633182
87,0.5263690221041061
88,0.5437041884339555
89,0.5560169806773962
90,0.5987406543306291
91,0.6161984976369396
92,0.6420937192817509
93,0.6690165311182557
94,0.6563405385818081
95,0.633598071204661
96,0.6391101112185135
97,0.6486892390791311
98,0.622091883410727
99,0.4878029385570645
100,0.306912226524792
101,0.29434247472909447
102,0.38816843111356275
103,0.44128532420809863
104,0.404790340915582
105,0.4424069069553785
106,0.5001014769806292
107,0.5201225606971209
108,0.5261355796153925
109,0.5172793916938988
110,0.5041370082207507
111,0.5017576200503547
112,0.5121795067396938
113,0.5212726038886166
114,0.5662704117503834
115,0.5897458373328601
116,0.6024759978370257
117,0.6143688281147368
118,0.6361858176215547
119,0.6323463747517296
120,0.6383285142059624
121,0.6560091132173392
122,0.6784994010326482
123,0.6411119613666311
124,0.5038310861889238
125,0.3882958668146574
126,0.36617248176382844
127,0.3452267578751333
128,0.36270249047499953
129,0.3722778988269596
130,0.4332807219939464
131,0.479057442731666
132,0.47528412730774305
133,0.4828958204645007
134,0.4602169838035704
135,0.4620329286509267
136,0.5018696413251992
137,0.5232497158553129
138,0.5313449266365177
139,0.544073753287131
140,0.5444601703629498
141,0.5635669674223897
142,0.5914666474677375
143,0.5901922487781205
144,0.6048003964900357
145,0.6202600483256927
146,0.6309216988785744
147,0.6436083223843462
148,0.5734893034590894
149,0.4178865484412752
150,0.40152965461015233
151,0.35583536534770976
152,0.360997561320235
153,0.3867451723578024
154,0.4168018607265384
155,0.4618878118387215
156,0.4929543641195884
157,0.4807798355652905
158,0.4572757684205794
159,0.4540369908483645
160,0.490586744828438
161,0.5054102149159129
162,0.5120609170197492
163,0.49931843533865783
164,0.49424252521084866
165,0.5207252176963664
166,0.5109917826718926
167,0.47538609237705276
