period,beta,se,ci95_low,ci95_high
-20,0.16606108437361625,0.027871497531862473,0.11143322800429807,0.22068894074293444
-19,0.13934329477990756,0.02750612775218775,0.08543155952402948,0.19325503003578565
-18,0.2454632717663779,0.033916687977923424,0.17898690259163658,0.3119396409411192
-17,0.2905375988939505,0.035938391784223374,0.22009871048156854,0.3609764873063324
-16,0.2512869267286762,0.032770597757816614,0.18705688292122818,0.3155169705361242
-15,0.2532252616953921,0.03725668272076504,0.18020253623399463,0.3262479871567896
-14,0.2623402047865903,0.034236608506540325,0.19523679457586227,0.32944361499731833
-13,0.2578176587653889,0.03222498295271364,0.19465701451826467,0.3209783030125132
-12,0.26669621855038755,0.03311639606155863,0.2017884135265579,0.3316040235742172
-11,0.2668837034373733,0.034752333488284395,0.19876947742112286,0.3349979294536237
-10,0.22144244350750644,0.03069383918948729,0.16128282572057456,0.2816020612944383
-9,0.2559960526728305,0.03324724121912836,0.19083179244898266,0.32116031289667835
-8,0.301560393271158,0.03554934736596009,0.231884028027037,0.37123675851527904
-7,0.2588602979520898,0.0362234729045926,0.18786265339539482,0.3298579425087848
-6,0.008288360685166753,0.021970438694047894,-0.034773479389170914,0.051350200759504416
-5,0.2992939279218944,0.036555890978455206,0.22764474726554162,0.3709431085782472
-4,0.3277280345352273,0.03675092563035213,0.25569658791204997,0.39975948115840465
-3,0.19620394782885922,0.030295725290662514,0.13682462930136854,0.25558326635634987
-2,-0.1440710822513817,0.01840350830371923,-0.18014177443998144,-0.10800039006278198
-1,0.0,0.0,0.0,0.0
0,0.11419367976090392,0.03359748306581594,0.04834294902094903,0.1800444105008588
1,0.20491241821554143,0.04050641486561968,0.1255202502566632,0.28430458617441967
2,0.20278016596209453,0.03748017302506853,0.12931940173979195,0.2762409301843971
3,0.1995695292900724,0.04009889090018516,0.12097610422706337,0.27816295435308147
4,0.25048950856740654,0.043676867210731,0.16488328572552408,0.336095731409289
5,0.18931364320909935,0.041371351945782085,0.10822620722489902,0.2704010791932997
6,0.23289769899448293,0.03395775582424163,0.16634083725175153,0.2994545607372143
7,0.11250097591858801,0.03780084834474878,0.038411691277364574,0.18659026055981145
8,0.14126537138464704,0.03834437512758325,0.06611077968586003,0.21641996308343403
9,0.14174309410552438,0.034280167341537,0.07455430901391336,0.2089318791971354
10,0.1699692550552156,0.03233423839222802,0.10659447123950391,0.23334403887092728
11,0.18080013302963774,0.03553662758633668,0.11114869842634513,0.25045156763293036
12,0.17019912450029095,0.03634574483885812,0.09896182817549777,0.24143642082508415
13,0.1920182273424115,0.03932221147478796,0.11494708618420876,0.26908936850061427
14,0.16862200578243638,0.028290316682277782,0.11317326806767015,0.22407074349720263
15,0.12552398986043475,0.03343927699946657,0.05998334142802034,0.19106463829284917
16,0.11595957717488672,0.03383766409403866,0.049638094022099094,0.18228106032767435
17,0.15017360940049723,0.03716170315690219,0.07733704293420895,0.2230101758667855
18,0.1325058914403729,0.035931387447312946,0.062080731458272406,0.20293105142247336
19,0.0707974959059093,0.036490183283766145,-0.0007228983261141353,0.14231789013793272
20,0.06214170500189915,0.02742617008874962,0.008386685966558956,0.11589672403723936
21,0.1229533030246142,0.037000877803607876,0.050431952642078254,0.19547465340715015
22,0.11588796939754234,0.036863236635558204,0.043636394327586106,0.1881395444674986
23,0.05291663390335244,0.03013670230540754,-0.0061510011637142745,0.11198426897041916
24,0.10861889067254438,0.035888961929091245,0.03827688428178426,0.17896089706330448
25,-0.07389166591428377,0.02714999469361163,-0.1271053839376819,-0.02067794789088563
26,0.08111594924727414,0.03276396902958774,0.01689889768084883,0.14533300081369943
27,0.14419706415340916,0.03403463938835358,0.07748951139406961,0.2109046169127487
28,0.1177391548685612,0.03391273629701844,0.051270530948865745,0.18420777878825664
29,0.1247573243251095,0.03143900740686234,0.06313718428589431,0.18637746436432467
30,0.10217866612578769,0.031080003278829694,0.041262170586468486,0.1630951616651069
